category_id,name,description
16,Health,"Legum odioque civium? Et tamen ego a philosopho, si afferat eloquentiam, non asperner, si."
17,Books,"Viris commemorandis eorumque factis non emolumento aliquo, sed ipsius honestatis decore laudandis, id totum evertitur eo delectu rerum, quem modo dixi, constituto, ut aut reiciendis voluptatibus maiores."
18,Clothing,Amici voluptatem. Quaeque de virtutibus.
19,Furniture,"Ratio bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti iniuste facta conducunt, qui nec facile efficere possit, quod melius sit, migrare."
20,Toys,"Et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset. Et quod quaeritur saepe, cur tam multi sint Epicurei, sunt aliae quoque causae, sed multitudinem haec maxime allicit, quod ita putant dici ab illo, recta et honesta quae sint, ea facere."
21,Furniture,"Ulla pars vacuitate doloris sine iucundo motu voluptatis. Sin autem summa voluptas est, ut Epicuro placet, nihil dolere, primum tibi recte, Chrysippe, concessum est."
22,Food,"Dicunt, ii remotis sensibus ne id ipsum quidem expedire possunt, quod disserunt. Praeterea sublata cognitione et scientia tollitur omnis ratio et vitae degendae et rerum gerendarum. Sic e physicis et fortitudo sumitur contra mortis timorem et."
23,Toys,"Ipsos diligamus, idcirco et hoc ipsum efficitur in amicitia, et amicitia cum voluptate vivatur. Quoniam autem id est quo melius viveremus, eas ergo artes persequeretur, vivendi artem tantam tamque et operosam et perinde fructuosam relinqueret? Non ergo Epicurus ineruditus, sed ii indocti, qui, quae pueros non didicisse turpe est, ea putant usque."
24,Toys,"Est propterea, quia tutiorem vitam et voluptatem ipsam per se esse expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione ne temperantiam quidem propter se ipsos penitus perdiderunt, sic robustus animus et."
25,Furniture,"Iudicatum. Plerique autem, quod tenere atque servare id, quod quaeritur."
26,Furniture,"Putat, ut calere ignem, nivem esse albam, dulce mel. Quorum nihil oportere exquisitis rationibus confirmare, tantum satis esse admonere. Interesse enim inter argumentum conclusionemque rationis et inter mediocrem animadversionem atque admonitionem. Altera occulta."
27,Clothing,"Quia dolor sit, amet, consectetur, adipisci."
28,Books,"Numquam ullius oratione victi sententia desistemus. Nisi autem rerum natura cognita levamur superstitione, liberamur mortis metu, non conturbamur ignoratione rerum, e qua ipsa horribiles existunt saepe formidines. Denique etiam morati melius erimus, cum didicerimus quid natura postulet non intellegunt, errore maximo, si Epicurum audire voluerint, liberabuntur: istae enim vestrae eximiae pulchraeque virtutes."
29,Automotive,"Ut neque divinum numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur, quid est."
30,Automotive,"Seditiones, bella nascuntur, nec eae se foris solum iactant nec tantum in."
31,Automotive,"Divitiarum, gloriae, dominationis, libidinosarum etiam voluptatum. Accedunt aegritudines, molestiae, maerores, qui exedunt animos conficiuntque curis hominum non intellegentium nihil dolendum esse animo, quod sit a dolore corporis praesenti futurove seiunctum. Nec vero quisquam stultus non horum."
32,Books,"Quidem expedire possunt, quod disserunt. Praeterea sublata cognitione et scientia tollitur omnis ratio et vitae degendae et rerum gerendarum. Sic e physicis et fortitudo sumitur contra mortis timorem et constantia contra metum."
33,Toys,"Permulta. Nunc dicam de voluptate, nihil scilicet novi, ea tamen, quae te ipsum probaturum esse confidam. Certe, inquam, pertinax non ero tibique, si mihi."
34,Food,"Tamen, ut legendus sit. Rudem enim esse censet, quantus videtur, vel paulo aut maiorem aut minorem. Ita, quae mutat, ea corrumpit, quae sequitur sunt tota Democriti, atomi, inane."
35,Clothing,"Audita pronuntiaret eum non talem videri fuisse in imperio, quales eius maiores fuissent."
36,Furniture,Esse bonum iucunde vivere. Id qui in una virtute ponunt et splendore nominis capti.
37,Books,"Ea quid percipit aut quid iudicat, quo aut petat aut fugiat aliquid, praeter."
38,Sports,"Crudelis fuisse, nihil ut de utilitatibus, nihil ut de omni virtute sit dictum. Sed similia fere dici possunt. Ut enim medicorum scientiam non ipsius."
39,Toys,"Naturales essent nec tamen necessariae, tertium, quae nec naturales nec necessariae. Quarum ea ratio est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse."
40,Food,"Autem illud vel maxime, quod ipsa natura divitias, quibus contenta sit, et parabilis et terminatas habet; inanium autem."
41,Sports,Scientia tollitur omnis ratio et vitae degendae et rerum gerendarum. Sic e physicis et fortitudo sumitur contra mortis timorem et constantia contra metum religionis et sedatio animi omnium rerum occultarum.
42,Books,"Labor in varias reprehensiones incurreret. Nam quibusdam, et iis quidem non admodum indoctis, totum hoc displicet philosophari. Quidam autem non tam solido quam splendido nomine, virtutem autem nixam."
43,Clothing,"Cupiditatum, quae essent et naturales et necessariae, alterum, quae naturales essent nec tamen id, cuius causa haec finxerat, assecutus est. Nam si omnes veri erunt, ut Epicuri ratio."
44,Clothing,Fruentem et animo et attento intuemur.
45,Electronics,"Diligamus, idcirco et hoc ipsum efficitur in amicitia, et amicitia cum voluptate vivatur. Quoniam autem."
46,Automotive,"Modum, quaeso, interpretaris? Sicine eos censes aut in dolore, sed in his rebus peccant, cum e quibus haec efficiantur ignorant. Animi autem morbi sunt."
47,Clothing,Ambigua distinguantur ostendit; iudicia rerum in sensibus.
48,Clothing,"Praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne, si amicitiam propter nostram voluptatem expetendam putemus, tota amicitia quasi claudicare videatur. Itaque primos congressus copulationesque et consuetudinum instituendarum."
49,Beauty,"Delectet eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. Quis enim tam inimicus."
50,Beauty,"Bonum, fuisse desideraturam. Idcirco enim non desideraret, quia, quod dolore caret, id in hominum consuetudine facilius fieri poterit."
51,Clothing,Consequatur. Eadem fortitudinis ratio reperietur. Nam neque laborum perfunctio neque perpessio dolorum per se ipsam causam non fuisse. -- Torquem detraxit hosti.
52,Food,"Extremum bonorum omnium, beateque vivere nihil aliud sit nisi cum voluptate vivatur. Quoniam autem id est vel summum bonorum vel ultimum vel extremum -- quod et posse fieri intellegimus et saepe etiam legum iudiciorumque poenis obligantur. Qui autem alia malunt scribi a."
53,Automotive,"Causa probamus, et gubernatoris ars, quia bene navigandi rationem habet, utilitate, non arte laudatur, sic sapientia, quae ars vivendi putanda est, non satis politus iis artibus, quas qui."
54,Health,"Abducat? Sin laboramus, quis est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit?"
55,Automotive,"Ipsarum quidem virtutum laus, in qua maxime ceterorum philosophorum exultat oratio, reperire exitum potest, nisi derigatur ad voluptatem, voluptas autem est sola, quae nos vocet ad se et alliciat suapte natura, non potest esse dubium, quin id sit summum atque extremum bonorum omnium, beateque vivere nihil aliud sit."
56,Books,"Locus; sed ita sentio et saepe etiam legum iudiciorumque poenis obligantur. Qui autem ita frui volunt voluptatibus, ut nulli propter eas consequantur dolores, et qui suum iudicium retinent, ne voluptate."
57,Electronics,"Tamen necessariae, tertium, quae nec naturales nec necessariae. Quarum ea ratio est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si."
58,Furniture,Rebus aut expetendis aut fugiendis ut rationem sequamur monet. Nec.
59,Beauty,"Saepe, cur tam multos legant, quam legendi sunt. Quid enim est una, quae maestitiam pellat ex animis, quae nos exhorrescere metu non sinat. Qua praeceptrice in tranquillitate vivi potest omnium cupiditatum ardore restincto. Cupiditates enim sunt insatiabiles, quae non modo non impediri rationem amicitiae, si summum bonum in voluptate est. Extremum autem."
60,Sports,"Nihil nec summum nec infimum nec medium nec ultimum nec extremum sit, ita ferri, ut concursionibus inter se dissident atque discordant, ex quo efficeretur mundus omnesque partes mundi, quaeque in eo quoque elaborare, ut sint illa vendibiliora, haec uberiora certe sunt. Quamquam id quidem licebit iis existimare, qui."
61,Toys,"Quidem faciunt, ut ita dicam, et ad eos cum suavitate afflueret et illaberetur, nec manus esse."
62,Furniture,"Iis artibus, quas qui tenent, eruditi appellantur -- aut."
63,Food,"Quae expectamus, sic laetamur iis, quae recordamur. Stulti autem malorum memoria torquentur, sapientes bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt, victi et debilitati obiecta specie voluptatis tradunt se libidinibus constringendos nec quid eventurum sit provident ob eamque debilitatem animi multi parentes, multi amicos."
64,Electronics,"Oportet in eo, qui ita sit affectus, eum necesse est effici, ut sapiens solum amputata circumcisaque inanitate omni et errore naturae finibus."
65,Books,"Possit, augeri amplificarique non possit. At etiam Athenis, ut e patre audiebam."
66,Clothing,"Quoque causae, sed multitudinem haec maxime allicit, quod ita putant dici ab illo, recta et honesta quae sint, ea facere ipsa per se esse expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione ne temperantiam quidem propter se esse expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione."
67,Beauty,"Et gravissimas res consilio ipsius et ratione administrari neque maiorem voluptatem ex infinito tempore aetatis percipi posse, quam."
68,Automotive,Et iudicio ab eadem illa individua et solida corpora ferri deorsum suo pondere.
69,Furniture,"Vellem, censes haec dicturum fuisse? Utrum igitur percurri omnem."
70,Beauty,"In culpa qui officia deserunt mollitia animi, id est voluptatem et dolorem? Sunt autem quidam Epicurei timidiores paulo."
71,Electronics,"Sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio."
72,Electronics,"Defuturum, quas natura non depravata desiderat. Et quem ad modum, quaeso, interpretaris? Sicine eos censes aut in dolore. Omnis autem privatione doloris putat Epicurus terminari summam voluptatem, ut ea maior sit, mediocritatem desiderent. Sive enim ad minim veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquip."
73,Food,"Quae audiebamus, conferebamus, neque erat umquam controversia, quid ego intellegerem, sed quid probarem. Quid igitur est? Inquit; audire enim cupio."
74,Books,"Illaberetur, nec manus esse contenta posset nec ulla pars vacuitate doloris sine iucundo motu voluptatis. Sin autem summa voluptas est, ut Epicuro placet, nihil dolere, primum tibi recte, Chrysippe, concessum est nihil ad."
75,Toys,"Cupiditatibusque detractis et omnium falsarum opinionum temeritate derepta certissimam se nobis ducem praebeat ad voluptatem. Sapientia enim est a Cyrenaicisque melius liberiusque defenditur, tamen eius modi tempora incidunt, ut labore et dolore disputandum putant. Sed ut omittam pericula, labores, dolorem etiam, quem optimus quisque pro patria et pro suis suscipit, ut non modo non repugnantibus, verum."
76,Sports,"Quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet, ut et voluptates et."
77,Health,"Bonum, desideraret.' -- Ita credo. -- 'Non est igitur voluptas bonum.' Hoc ne statuam quidem dicturam pater aiebat, si loqui posset. Conclusum est enim in vita tantopere quaerendum quam cum omnia in philosophia, tum id, quod."
78,Sports,"Quoniam, cum privamur dolore, ipsa liberatione et vacuitate omnis molestiae gaudemus, omne autem id, quo gaudemus, voluptas est, ut Epicuro placet, nihil dolere, primum tibi recte, Chrysippe, concessum est nihil desiderare manum, cum ita esset affecta, secundum non recte, si voluptas esset bonum, fuisse desideraturam. Idcirco enim non desideraret, quia, quod dolore caret, id in voluptate."
79,Electronics,"Nec summum nec infimum nec medium nec ultimum nec extremum sit, ita ferri, ut concursionibus inter se dissident atque discordant, ex quo."
80,Electronics,"Profecto numquam putavisset, si a Polyaeno, familiari suo, geometrica discere maluisset quam illum etiam ipsum dedocere. Sol Democrito."
81,Food,"Dicat, Latinas litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii quam utramque Menandri legam? A quibus tantum dissentio, ut, cum Sophocles vel."
82,Books,"Gerendarum. Sic e physicis et fortitudo sumitur contra mortis timorem et constantia contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio natura cupiditatum generibusque earum explicatis, et, ut dixi, ad lineam, numquam fore ut atomus altera."
83,Electronics,"Omnino avocent a philosophia, quam his, qui rebus infinitis modum constituant in reque eo meliore, quo maior sit, mediocritatem desiderent. Sive enim ad minima veniam, quis nostrud exercitation ullamco laboris nisi ut."
84,Beauty,"Constituit, e regione inferiorem locum petentium sine causa dicere, -- et illum motum naturalem omnium ponderum, ut ipse loquerer, tum Triarius leniter arridens: Tu quidem, inquit, totum Epicurum paene e philosophorum choro sustulisti. Quid ei reliquisti, nisi te, quoquo."
85,Clothing,"Ea cum accedit, ut neque divinum numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur, quid est, cur nostri a nostris de amicitia disputatum. Alii cum eas voluptates, quae ad amicos pertinerent, negarent esse per se ipsa allicit nec patientia nec assiduitas nec vigiliae nec ea ipsa, quae ab illo."
86,Sports,"Hunc mundi ornatum efficere non poterit. Ne illud quidem adduci vix possum, ut ea, quae hoc non minus declarant, sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot versuum memoria voluptatis affert? Nec mihi illud dixeris."
87,Beauty,"Nivem esse albam, dulce mel. Quorum nihil oportere exquisitis rationibus confirmare, tantum satis esse admonere. Interesse enim inter argumentum conclusionemque rationis et inter mediocrem animadversionem atque admonitionem. Altera occulta quaedam et horrida, de malis Graecis Latine."
88,Books,"Displicet philosophari. Quidam autem non tam solido quam splendido nomine, virtutem autem nixam hoc honesto nullam requirere voluptatem atque ad beate vivendum sapientia comparaverit."
89,Books,Quae sua natura aut sollicitare possit aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia proficiscuntur aut.
90,Electronics,"Aut omnia semper desperantes aut malivoli, invidi."
91,Beauty,"Istis tantopere pugnare, qui Graeca legere malint."
92,Furniture,"Albucius, hinc inimicus. Sed iure Mucius. Ego autem mirari satis non queo unde hoc sit tam insolens domesticarum rerum fastidium. Non est omnino hic docendi locus; sed ita sentio et."
93,Automotive,"In primis, quod, cum in rerum natura perspecta erit, nullo modo probantur, tamen Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum. Iam in altera philosophiae parte. Quae est quaerendi ac disserendi."
94,Furniture,"Aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu mentitum aut Zenonem putas, quorum utrumque audivi, cum mihi nihil sane praeter sedulitatem probarent, omnes mihi Epicuri sententiae satis notae sunt. Atque eos, quos nominavi, cum inciderit, ut id meo arbitratu facerem, ante hoc tempus numquam est Democriti errata."
95,Toys,Ne in nemore . . .' nihilo minus legimus quam.
96,Sports,"Delicatissimi. Mihi quidem videtur, inermis ac nudus est. Tollit definitiones, nihil de dividendo ac partiendo docet, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum dirigentur, numquam ullius oratione victi sententia desistemus. Nisi autem."
97,Clothing,"Et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset. Et quod adest sentire possumus, animo autem et laetitiam nobis voluptas animi."
98,Sports,"Esse appetendum, alterum aspernandum sentiamus. Alii autem, quibus ego assentior, cum a philosophis compluribus permulta dicantur, cur nec voluptas in bonis sit."
99,Furniture,"Fugiat, sed quia non numquam eius modi esse iudico, ut nihil homine videatur indignius. Ad maiora enim quaedam nos natura genuit et conformavit, ut mihi videtur, expediunt. Ut enim virtutes, de quibus neque depravate iudicant neque corrupte, nonne ei maximam gratiam habere debemus, qui hac exaudita quasi voce naturae sic eam firme."
100,Food,Discordia dominorum domus; quo minus.
